Crowd Counting Consortium,,,,,
"Data collection in progress by Jeremy Pressman (@djpressman, U of Connecticut) and Erica Chenoweth (@EricaChenoweth, Harvard U). ",,,,,
"With thanks to Elannah Devin, Katya Hunt, Vernessa Kingsbury, and Marinela Mukollari for assistance compiling sources.",,,,,
We are collecting this data in the public interest and to further scholarly research. We are working with countlove.org to collect data on demonstrations.,,,,,
,,,,,
"To submit information about an action during this timeframe, please click here ",,,,,
,,,,,
Total Marchers US (not including below),,,"177,497",,"204,561"
,,,,,
Total Events US Towns & Cities (not incl. below),,,644,,
,,,,,
"Marchers, anti-War (January 9)",,,"2,148",,"2,159"
"Events, anti-War (January 9)",,,309,,
,,,,,
"Marchers, Women's March (January 18)",,,"117,652",,"505,051"
"Events, Women's March",,,263,,