Participating State,Total offenses
Alabama,263
Alaska,14
Arizona,106
Arkansas,47
California,81
Colorado,375
Connecticut,102
Delaware,11
District of Columbia,74
Florida,1
Georgia,287
Hawaii,38
Idaho,62
Illinois,112
Indiana,165
Iowa,117
Kansas,146
Kentucky,178
Louisiana,157
Maine,85
Maryland,99
Massachusetts,489
Michigan,486
Minnesota,301
Mississippi,31
Missouri,238
Montana,18
Nebraska,56
Nevada,265
New Hampshire,36
New Jersey,241
New Mexico,60
New York,71
North Carolina,358
North Dakota,49
Ohio,569
Oklahoma,82
Oregon,315
Pennsylvania,161
Rhode Island,22
South Carolina,122
South Dakota,28
Tennessee,163
Texas,642
Utah,132
Vermont,45
Virginia,125
Washington,698
West Virginia,68
Wisconsin,118
Wyoming,21